# 1-d slice in y-direction, file: plt_2d_000400
# time =       0.594868597708E-02
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.195312500000E-04        1.14395697935          -0.400986154875E-12       0.392668154391E-01       0.307715044100E-15        298.000000000      
       0.585937500000E-04        1.14395697542          -0.222255228111E-12       0.392668154277E-01       0.879938086541E-16        298.000000000      
       0.976562500000E-04        1.14395697085           0.152817658224E-12       0.392668154152E-01      -0.152597774344E-15        297.999999999      
       0.136718750000E-03        1.14395696613           0.438833357575E-13       0.392668154015E-01      -0.196093840628E-18        298.000000000      
       0.175781250000E-03        1.14395696077          -0.172396174800E-12       0.392668153867E-01       0.150500782582E-15        297.999999999      
       0.214843750000E-03        1.14395695519          -0.200477065563E-13       0.392668153705E-01       0.252472302725E-15        298.000000000      
       0.253906250000E-03        1.14395694893           0.376079904867E-12       0.392668153529E-01       0.226341219924E-15        298.000000000      
       0.292968750000E-03        1.14395694239          -0.149368885136E-12       0.392668153338E-01       0.613175894286E-16        298.000000000      
       0.332031250000E-03        1.14395693515           0.246713515189E-13       0.392668153131E-01      -0.217998600304E-15        298.000000000      
       0.371093750000E-03        1.14395692757           0.346993209007E-13       0.392668152907E-01      -0.878273905009E-15        298.000000000      
       0.410156250000E-03        1.14395691925           0.425260822733E-12       0.392668152665E-01      -0.423482092783E-15        298.000000000      
       0.449218750000E-03        1.14395691054           0.483600721753E-12       0.392668152403E-01      -0.265567433736E-15        297.999999999      
       0.488281250000E-03        1.14395690104          -0.555821363192E-12       0.392668152120E-01      -0.753365665634E-15        298.000000000      
       0.527343750000E-03        1.14395689111           0.431297365397E-12       0.392668151816E-01      -0.123742691368E-15        297.999999999      
       0.566406250000E-03        1.14395688035           0.217472919716E-12       0.392668151487E-01       0.453048612939E-15        297.999999999      
       0.605468750000E-03        1.14395686912           0.190072571402E-12       0.392668151133E-01      -0.344787899321E-15        297.999999999      
       0.644531250000E-03        1.14395685701           0.122866184169E-12       0.392668150751E-01      -0.226997140226E-15        297.999999999      
       0.683593750000E-03        1.14395684439           0.145130934138E-12       0.392668150340E-01      -0.560288576349E-16        297.999999999      
       0.722656250000E-03        1.14395683086          -0.844089357414E-13       0.392668149899E-01       0.172956663924E-15        297.999999998      
       0.761718750000E-03        1.14395681678           0.697012094030E-12       0.392668149424E-01      -0.520883447431E-15        297.999999999      
       0.800781250000E-03        1.14395680175          -0.179152132743E-12       0.392668148913E-01      -0.171231649892E-15        297.999999999      
       0.839843750000E-03        1.14395678617           0.321591819802E-12       0.392668148366E-01       0.435068085827E-15        297.999999998      
       0.878906250000E-03        1.14395676959          -0.211839582681E-12       0.392668147779E-01      -0.260956522352E-15        297.999999999      
       0.917968750000E-03        1.14395675245          -0.276957577254E-13       0.392668147150E-01      -0.291530717257E-15        297.999999998      
       0.957031250000E-03        1.14395673430           0.203962013430E-12       0.392668146477E-01       0.211295626079E-15        297.999999998      
