# 1-d slice in y-direction, file: plt_2d_005500
# time =       0.173135125104    
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.781250000000E-04        1.13633299890           0.187140565902E-12       0.392668154444E-01       0.436246319378E-13        299.999366455      
       0.234375000000E-03        1.13633288579           0.200041211419E-12       0.392668154452E-01       0.108743483166E-12        299.999396976      
       0.390625000000E-03        1.13633258150           0.980090506908E-13       0.392668154550E-01       0.255548315153E-12        299.999476974      
       0.546875000000E-03        1.13633239000          -0.664766483370E-13       0.392668154719E-01      -0.586265065024E-12        299.999527598      
       0.703125000000E-03        1.13633232887          -0.225626499736E-12       0.392668154784E-01      -0.249613357160E-11        299.999544092      
       0.859375000000E-03        1.13633228753          -0.135817863422E-12       0.392668154826E-01      -0.943349092795E-12        299.999554577      
       0.101562500000E-02        1.13633219123          -0.104728153097E-13       0.392668155082E-01       0.125017268222E-11        299.999580261      
       0.117187500000E-02        1.13633200285          -0.613603863764E-13       0.392668154805E-01       0.730534114342E-11        299.999629735      
       0.132812500000E-02        1.13633174559           0.284634437602E-12       0.392668154488E-01       0.525532812502E-11        299.999698343      
       0.148437500000E-02        1.13633145690          -0.629692593912E-14       0.392668154618E-01       0.497628208728E-12        299.999774030      
       0.164062500000E-02        1.13633119007          -0.247216448837E-12       0.392668154910E-01      -0.215628521609E-11        299.999844583      
       0.179687500000E-02        1.13633097069           0.200894073647E-13       0.392668155142E-01      -0.170887732529E-11        299.999901983      
       0.195312500000E-02        1.13633081456          -0.169221721122E-12       0.392668155186E-01      -0.507725433777E-11        299.999943391      
       0.210937500000E-02        1.13633071234           0.111455289612E-12       0.392668155223E-01      -0.867715324621E-11        299.999970132      
       0.226562500000E-02        1.13633065342           0.400158093374E-12       0.392668155344E-01      -0.804481872236E-11        299.999985712      
       0.242187500000E-02        1.13633062262           0.163194849827E-12       0.392668155149E-01       0.477729300187E-11        299.999993856      
       0.257812500000E-02        1.13633061092           0.263745849569E-13       0.392668154530E-01       0.611377223685E-11        299.999997506      
       0.273437500000E-02        1.13633060447           0.333839833634E-12       0.392668154658E-01       0.213783204095E-11        299.999999052      
