# x, y, z, u, v, w
1.963495408493620697e-01,1.963495408493620697e-01,1.963495408493620697e-01,-6.398447231908570287e-03,7.267519507482963492e-01,-1.121017589549661020e+00
5.890486225480862092e-01,1.963495408493620697e-01,1.963495408493620697e-01,-5.161915557762137841e-01,2.608994200031790056e-01,-8.181729309275236339e-01
9.817477042468103487e-01,1.963495408493620697e-01,1.963495408493620697e-01,-4.519255133867928209e-01,-5.696423637318379085e-02,-2.810548299065422917e-01
1.374446785945534488e+00,1.963495408493620697e-01,1.963495408493620697e-01,-1.677178870034315428e-01,2.896884912575892757e-01,-4.817832423505409578e-02
1.767145867644258628e+00,1.963495408493620697e-01,1.963495408493620697e-01,1.151120154496504400e-01,-7.974009796621012169e-01,-6.893996398887974886e-01
2.159844949342982545e+00,1.963495408493620697e-01,1.963495408493620697e-01,-4.838945956168534401e-01,-1.059182537525241274e+00,-1.094006755762795269e+00
2.552544031041707129e+00,1.963495408493620697e-01,1.963495408493620697e-01,-1.292741915833806488e+00,-5.587487107256126073e-01,-1.123444178865758314e+00
2.945243112740430824e+00,1.963495408493620697e-01,1.963495408493620697e-01,-7.341756755789061728e-01,-2.169403637938422391e-01,-9.237317990190201389e-01
3.337942194439155408e+00,1.963495408493620697e-01,1.963495408493620697e-01,4.010443561349123498e-01,1.956292407794365529e+00,5.021318125143069411e-01
3.730641276137879103e+00,1.963495408493620697e-01,1.963495408493620697e-01,3.411044472265950533e-01,1.189600989136374354e+00,1.266992107133332990e+00
4.123340357836603687e+00,1.963495408493620697e-01,1.963495408493620697e-01,-1.114408288788389656e-01,-1.817938961547740595e+00,6.549453418473981658e-01
4.516039439535327382e+00,1.963495408493620697e-01,1.963495408493620697e-01,-5.144042036880739355e-01,-1.124655017418750624e+00,-6.381743485182629350e-01
4.908738521234051966e+00,1.963495408493620697e-01,1.963495408493620697e-01,-1.062974064262449225e+00,6.389854580760145897e-01,1.030287816382115862e+00
5.301437602932775661e+00,1.963495408493620697e-01,1.963495408493620697e-01,-1.273214926729143270e+00,-2.868641176628154987e-01,1.768182508487597504e+00
5.694136684631500245e+00,1.963495408493620697e-01,1.963495408493620697e-01,-3.467498642073097992e-01,-1.664730342770273097e+00,-1.271280751071765192e+00
6.086835766330223940e+00,1.963495408493620697e-01,1.963495408493620697e-01,5.924201349494839786e-01,-6.811392430163794032e-01,-1.688715406009752229e+00
1.963495408493620697e-01,5.890486225480862092e-01,1.963495408493620697e-01,-7.484658173455365215e-01,5.403513733646743145e-01,-1.956652465972495758e+00
5.890486225480862092e-01,5.890486225480862092e-01,1.963495408493620697e-01,-1.053383091700288876e+00,8.169513868700630788e-01,-1.089811996130247707e+00
9.817477042468103487e-01,5.890486225480862092e-01,1.963495408493620697e-01,-1.866502689649051083e+00,7.722161717554101301e-01,-1.444464568575639651e+00
1.374446785945534488e+00,5.890486225480862092e-01,1.963495408493620697e-01,-1.610250149809030695e+00,1.923179094704012548e-01,-8.288194817652415614e-01
1.767145867644258628e+00,5.890486225480862092e-01,1.963495408493620697e-01,-9.462566610779050702e-01,-4.696702076894440636e-01,-3.992912391132986683e-01
2.159844949342982545e+00,5.890486225480862092e-01,1.963495408493620697e-01,-1.129361370033261647e+00,-5.542311453819546152e-01,-8.282329714621317063e-01
2.552544031041707129e+00,5.890486225480862092e-01,1.963495408493620697e-01,-6.703340224043556894e-01,-9.350448106915989488e-01,-8.579245969245367087e-01
